rule_id,design_area,source,required_setting,methodological_action,interpretation_limit,passed
T01,COMPONENT_SCOPE,master_panel_estimation_sample.dta,rents_oil_gas; rents_mining,Evaluar temporalmente solo los dos componentes contables de RENTS.,RENTS x INST agregado y auxiliares manuales no son procesos autonomos.,1
T02,COMMON_SAMPLE,sample_contract.csv,N=1044; countries=49; effective_years=23; identical_samples=1,Usar exactamente la muestra comun de los modelos desagregados aprobados.,"No recortar, balancear, imputar ni interpolar para habilitar una prueba.",1
T03,ACCOUNTING_IDENTITY,section19_validation.csv,RENTS = RENTS_OIL_GAS + RENTS_MINING; tolerance=1e-10,Detener la extension ante cualquier ruptura de la identidad contable.,La identidad define componentes; no identifica efectos causales.,1
T04,HHI_SCOPE,DISAGG_ECI_REGRESSORS; DISAGG_DIVX_REGRESSORS,HHI in ECI only; HHI absent from DIVX,Conservar HHI en ECI y excluirlo de toda ecuacion DIVX.,Incluir HHI en DIVX generaria una identidad mecanica.,1
T05,NO_IMPUTATION,sample_contract.csv,no_imputation=1,Preservar los valores observados y los vacios del panel.,No completar series para mejorar artificialmente elegibilidad o potencia.,1
T06,NO_INTERPOLATION,sample_contract.csv,no_interpolation=1,Mantener las brechas temporales reales de la muestra.,Las diferencias y rezagos deben respetar anos no consecutivos.,1
T07,UNIT_ROOT_SPECIFICATION,Peer1_audit; D18,Fisher-ADF; constant; lags=1; demeaned; level and first difference,Aplicar una sola especificacion predefinida a cada componente.,El rechazo no demuestra estacionariedad universal ni clasifica I(0) o I(1).,1
T08,DIAGNOSTIC_ROLE,econometric_decision_register.csv; D18,implementation_status=DIAGNOSTIC_ONLY,Usar persistencia y raices unitarias como contexto temporal.,"No transformar, excluir ni seleccionar componentes automaticamente.",1
T09,NO_SIGNIFICANCE_SELECTION,econometric_decision_register.csv,significance_selected=0,Predefinir todas las pruebas y conservar tambien resultados no significativos.,Los valores p no eligen especificaciones ni periodos.,1
T10,EXCLUDED_METHODS,econometric_decision_register.csv; D14-D16,"Exclude cointegration, ECM, VAR/VEC, Granger, LP and HP from script 08","No incorporar metodos sin vector, choque o sistema predefinido.",Las exclusiones no impiden un proyecto dinamico separado con otro diseno.,1
T11,INFERENCE_GATE,future disaggregated_panel_error_tests.csv,No Driscoll-Kraay or PCSE before residual diagnostics,"Evaluar primero heterocedasticidad, autocorrelacion y Pesaran CD.",Una alerta residual abriria una decision separada; no activa otro estimador.,1
T12,OUTPUT_ISOLATION,OUTPUT_DISAGG,Write only under 07_resource_disaggregation,Mantener los nuevos resultados dentro de la extension desagregada.,Los outputs agregados de 01 y 04 permanecen protegidos.,1
