decision_id,evidence_area,evidence_source,evidence_result,hierarchy,target_script,implementation_status,methodological_action,interpretation_limit,significance_selected
D01,COMMON_SAMPLE,sample_contract.csv,N=1044; countries=49; effective_years=23; ECI_DIVX_IDENTICAL=1,MAIN,04_twfe_full.do,ACTIVE,Mantener la misma muestra país-año para ECI y DIVX.,Los cambios entre ecuaciones no deben provenir de cobertura diferente.,0
D02,OUTCOME_IDENTITY,01_data_preparation_diagnostics.do,DIVX = 1 - HHI validado en el panel preparado.,MAIN,04_twfe_full.do,ACTIVE,Excluir HHI de toda ecuación cuya dependiente sea DIVX.,Incluir HHI produciría una identidad mecánica.,0
D03,CLUSTERED_INFERENCE,panel_error_tests.csv,Modified_Wald_rejections=2/2; Wooldridge_rejections=2/2; clusters=49,MAIN,04_twfe_full.do,ACTIVE,Mantener errores estándar agrupados por país.,La inferencia no se selecciona mediante una votación de valores p.,0
D04,WILD_CLUSTER_BOOTSTRAP,panel_error_tests.csv,Clusters=49; heteroscedasticity_and_serial_correlation_detected=1,SENSITIVITY,04_twfe_full.do,IMPLEMENTED,Usar wild cluster bootstrap para términos y pruebas focales predefinidas.,No aplicar bootstrap a todas las combinaciones posibles de coeficientes.,0
D05,CROSS_SECTIONAL_DEPENDENCE,panel_error_tests.csv,Pesaran_CD_nonrejections=2/2 after_year_FE=1,EXCLUDED,04_twfe_full.do,NOT_REQUIRED,No adoptar CCE como estimador principal con la evidencia residual vigente.,Reconsiderar únicamente si nuevos diagnósticos detectan dependencia sustantiva.,0
D06,INSTITUTIONAL_WITHIN_VARIATION,panel_variation.csv,INST_within_variance_ratio=0.0380,MAIN,04_twfe_full.do,ACTIVE,Interpretar INST y su interacción con cautela; conservar intervalos de confianza.,"La baja variación within limita la precisión, no justifica eliminar INST.",0
D07,MARGINAL_EFFECT_SUPPORT,panel_variation.csv; temporal_persistence.csv,INST_within_ratio=0.0380; INST_AR1= 0.809,SENSITIVITY,04_twfe_full.do,IMPLEMENTED,Evaluar efectos marginales de RENTS solo en valores observados de INST.,No extrapolar efectos fuera del soporte institucional de la muestra.,0
D08,TEMPORAL_PERSISTENCE,temporal_persistence.csv,DIVX_AR1= 0.744; RENTS_AR1= 0.701; INST_AR1= 0.809,SENSITIVITY,04_twfe_full.do,IMPLEMENTED,Añadir tendencias lineales específicas por país como sensibilidad exigente.,La sensibilidad no reemplaza el M3 en niveles ni demuestra causalidad.,0
D09,PANEL_UNIT_ROOT_EVIDENCE,panel_unit_root_tests.csv,Level_rejections_eci=6/8; divx=1/8; rents=1/8; inst=6/8,MAIN,04_twfe_full.do,DIAGNOSTIC_ONLY,Conservar el M3 principal y documentar evidencia mixta de estacionariedad.,Fisher rechaza que todos los paneles tengan raíz; no prueba estacionariedad universal.,0
D10,IPS_ELIGIBILITY,panel_unit_root_eligibility.csv; panel_unit_root_tests.csv,Eligibility_rows_not_eligible=8/8; IPS_not_applicable=64/64,NOT_APPLICABLE,01_data_preparation_diagnostics.do,NOT_APPLICABLE,No ejecutar IPS mientras existan vacíos internos en las series individuales.,"No balancear, recortar ni interpolar el panel para forzar la prueba.",0
D11,FIRST_DIFFERENCES,panel_unit_root_tests.csv,Difference_rejections_eci=8/8; divx=8/8; rents=6/8; inst=8/8,EXCLUDED,04_twfe_full.do,OUTSIDE_CORE,No sustituir automáticamente el M3 por una ecuación en primeras diferencias.,Diferenciar cambia el estimando y la interpretación de la interacción.,0
D12,INFLUENTIAL_OBSERVATIONS,influential_observations.csv,ECI_flagged=70; DIVX_flagged=75,SENSITIVITY,04_twfe_full.do,IMPLEMENTED,"Usar conteos dinámicos, exclusión diagnóstica y leave-one-country-out.",Las alertas no autorizan eliminar observaciones del modelo principal.,0
D13,REGIME_STABILITY_2014,World Bank Policy Research Note 1 (2015),Oil prices fell almost 50pct Jun2014-Feb2015; cutoff externally prespecified,CONDITIONAL,04_twfe_full.do,IMPLEMENTED_WITH_JUSTIFICATION,Probar cambios post-2014 mediante interacciones en la muestra completa.,2014 es año de transición; la sensibilidad no identifica efectos causales.,0
D14,COINTEGRATION_ECM,panel_unit_root_tests.csv,Mixed_integration_evidence; IPS_not_applicable; no_cointegrating_vector_tested,EXCLUDED,NONE,EXCLUDED,No estimar cointegración ni ECM dentro del núcleo TWFE.,No realizar afirmaciones de equilibrio o superconsistencia de largo plazo.,0
D15,VAR_VEC_GRANGER,Research_design_and_panel_structure,Country_panel_with_common_shocks; no_single_system_identification,EXCLUDED,NONE,EXCLUDED,"No incorporar VAR, VEC, Granger, IRF o FEVD en estos archivos.",Estas técnicas no identifican el parámetro asociativo central del TFM.,0
D16,HP_FILTER_AND_LOCAL_PROJECTIONS,Research_design_and_current_identification,No_predefined_shock_identification_or_horizon_family_in_M3,EXCLUDED,NONE,EXCLUDED,No usar HP como inferencia ni añadir proyecciones locales al M3.,"Las proyecciones requieren identificación, rezagos, muestra común y multiplicidad.",0
D17,INTERPRETATION_SCOPE,ECONOMETRIC_STRATEGY.md,Observational panel; no external instrument; TWFE association design,MAIN,04_twfe_full.do,ACTIVE,Describir todos los resultados como asociaciones condicionales dentro del país.,No interpretar coeficientes como efectos causales o parámetros de largo plazo.,0
D18,CONTROL_TEMPORAL_INVENTORY,temporal_control_inventory.csv; panel_unit_root_controls.csv,Controls=14; abs_AR1_ge_0.80=6; level_rejections=6/14; difference_rejections=14/14,MAIN,04_twfe_full.do,DIAGNOSTIC_ONLY,Usar el inventario como contexto temporal y validar su completitud antes de estimar M3.,"No transformar, excluir ni seleccionar controles mediante resultados de significancia.",0
